communication_length_chars_avg,communication_length_chars_max,communication_length_chars_min,communication_length_chars_total,communication_length_texts,communication_length_words_avg,communication_length_words_max,communication_length_words_min,communication_length_words_total,communication_similarity_avg,communication_similarity_computed_pairs,communication_similarity_exact,communication_similarity_max,communication_similarity_min,communication_similarity_num_pairs,composite_tasks,environment,num_steps,num_trajectories,reasoning_length_chars_avg,reasoning_length_chars_max,reasoning_length_chars_min,reasoning_length_chars_total,reasoning_length_texts,reasoning_length_words_avg,reasoning_length_words_max,reasoning_length_words_min,reasoning_length_words_total,reasoning_similarity_avg,reasoning_similarity_computed_pairs,reasoning_similarity_exact,reasoning_similarity_max,reasoning_similarity_min,reasoning_similarity_num_pairs,reasoning_to_communication_similarity_avg,reasoning_to_communication_similarity_computed_pairs,reasoning_to_communication_similarity_exact,reasoning_to_communication_similarity_max,reasoning_to_communication_similarity_min,reasoning_to_communication_similarity_num_pairs,sampling_method,tool_call_distribution_json
67.91078838174273,120,30,32733.0,482,11.622406639004149,23,4,5602.0,,,,,,,AddLemonToFish,add_lemon_to_fish,1122,120,65.67023172905526,113,26,73682.0,1122,11.76559714795009,20,5,13201.0,,,,,,,,,,,,,,"{""communicate"":{""count"":482,""fraction"":0.4295900178253119},""give_space"":{""count"":119,""fraction"":0.10606060606060606},""navigate_to_fixture"":{""count"":161,""fraction"":0.14349376114081996},""open_hinged_part"":{""count"":120,""fraction"":0.10695187165775401},""pick_up_object"":{""count"":120,""fraction"":0.10695187165775401},""place_on_object"":{""count"":120,""fraction"":0.10695187165775401}}"
71.02127659574468,127,31,33380.0,470,11.693617021276596,22,5,5496.0,,,,,,,AddSugarCubes,add_sugar_cubes,1179,120,68.47667514843087,115,26,80734.0,1179,12.517387616624259,21,5,14758.0,,,,,,,,,,,,,,"{""communicate"":{""count"":470,""fraction"":0.3986429177268872},""give_space"":{""count"":118,""fraction"":0.10008481764206956},""navigate_to_fixture"":{""count"":111,""fraction"":0.09414758269720101},""pick_up_object"":{""count"":240,""fraction"":0.2035623409669211},""place_on_object"":{""count"":240,""fraction"":0.2035623409669211}}"
70.59137931034483,126,24,40943.0,580,13.891379310344828,25,5,8057.0,,,,,,,AlcoholServingPrep,alcohol_serving_prep,1753,120,60.86423274386765,110,21,106695.0,1753,11.771819737592699,22,4,20636.0,,,,,,,,,,,,,,"{""communicate"":{""count"":580,""fraction"":0.33086138049058755},""give_space"":{""count"":146,""fraction"":0.08328579577866514},""navigate_to_fixture"":{""count"":427,""fraction"":0.24358243011979464},""open_hinged_part"":{""count"":120,""fraction"":0.06845407872219053},""pick_up_object"":{""count"":240,""fraction"":0.13690815744438106},""place_on_surface"":{""count"":240,""fraction"":0.13690815744438106}}"
69.12520593080725,125,29,41959.0,607,12.99505766062603,23,5,7888.0,,,,,,,AlignSilverware,align_silverware,1688,120,63.78376777251185,123,22,107667.0,1688,12.170616113744076,22,5,20544.0,,,,,,,,,,,,,,"{""communicate"":{""count"":607,""fraction"":0.35959715639810425},""give_space"":{""count"":199,""fraction"":0.1178909952606635},""navigate_to_fixture"":{""count"":402,""fraction"":0.2381516587677725},""pick_up_object"":{""count"":240,""fraction"":0.14218009478672985},""place_next_to"":{""count"":240,""fraction"":0.14218009478672985}}"
68.74516695957821,136,14,39116.0,569,12.90158172231986,28,3,7341.0,,,,,,,ArrangeBreadBowl,arrange_bread_bowl,1782,120,62.47418630751964,109,22,111329.0,1782,12.002805836139169,20,5,21389.0,,,,,,,,,,,,,,"{""communicate"":{""count"":569,""fraction"":0.31930415263748596},""give_space"":{""count"":182,""fraction"":0.10213243546576879},""navigate_to_fixture"":{""count"":431,""fraction"":0.24186307519640854},""open_hinged_part"":{""count"":120,""fraction"":0.06734006734006734},""pick_up_object"":{""count"":240,""fraction"":0.13468013468013468},""place_in_receptacle"":{""count"":120,""fraction"":0.06734006734006734},""place_on_surface"":{""count"":120,""fraction"":0.06734006734006734}}"
74.9047619047619,133,26,42471.0,567,13.670194003527337,24,6,7751.0,,,,,,,ArrangeDrinkware,arrange_drinkware,1628,120,62.54422604422604,113,21,101822.0,1628,11.316953316953317,21,5,18424.0,,,,,,,,,,,,,,"{""communicate"":{""count"":567,""fraction"":0.34828009828009826},""give_space"":{""count"":180,""fraction"":0.11056511056511056},""navigate_to_fixture"":{""count"":401,""fraction"":0.2463144963144963},""pick_up_object"":{""count"":240,""fraction"":0.14742014742014742},""place_on_surface"":{""count"":240,""fraction"":0.14742014742014742}}"
66.19806763285024,116,11,41109.0,621,13.252818035426731,26,2,8230.0,,,,,,,ArrangeTea,arrange_tea,1677,120,59.65652951699463,124,21,100044.0,1677,11.68515205724508,25,5,19596.0,,,,,,,,,,,,,,"{""close_hinged_part"":{""count"":120,""fraction"":0.07155635062611806},""communicate"":{""count"":621,""fraction"":0.370304114490161},""give_space"":{""count"":147,""fraction"":0.08765652951699464},""navigate_to_fixture"":{""count"":309,""fraction"":0.18425760286225404},""pick_up_object"":{""count"":240,""fraction"":0.14311270125223613},""place_in_receptacle"":{""count"":240,""fraction"":0.14311270125223613}}"
68.02134146341463,125,24,44622.0,656,12.638719512195122,27,4,8291.0,,,,,,,BeverageOrganization,beverage_organization,2195,120,58.42369020501139,130,21,128240.0,2195,11.148063781321184,25,4,24470.0,,,,,,,,,,,,,,"{""communicate"":{""count"":656,""fraction"":0.2988610478359909},""give_space"":{""count"":190,""fraction"":0.08656036446469248},""navigate_to_fixture"":{""count"":629,""fraction"":0.28656036446469246},""pick_up_object"":{""count"":360,""fraction"":0.16400911161731208},""place_on_surface"":{""count"":360,""fraction"":0.16400911161731208}}"
72.22857142857143,121,31,37920.0,525,13.81904761904762,24,6,7255.0,,,,,,,BowlAndCup,bowl_and_cup,1379,120,66.3248730964467,110,24,91462.0,1379,12.60768672951414,21,5,17386.0,,,,,,,,,,,,,,"{""communicate"":{""count"":525,""fraction"":0.38071065989847713},""give_space"":{""count"":136,""fraction"":0.09862218999274837},""navigate_to_fixture"":{""count"":238,""fraction"":0.17258883248730963},""pick_up_object"":{""count"":240,""fraction"":0.17403915881073242},""place_in_receptacle"":{""count"":120,""fraction"":0.08701957940536621},""place_on_surface"":{""count"":120,""fraction"":0.08701957940536621}}"
64.04479768786128,153,23,44319.0,692,12.560693641618498,32,5,8692.0,,,,,,,CandleCleanup,candle_cleanup,2011,120,61.03083043262059,121,21,122733.0,2011,11.293883639980109,23,5,22712.0,,,,,,,,,,,,,,"{""close_hinged_part"":{""count"":120,""fraction"":0.05967180507210343},""communicate"":{""count"":692,""fraction"":0.3441074092491298},""give_space"":{""count"":266,""fraction"":0.13227250124316262},""navigate_to_fixture"":{""count"":453,""fraction"":0.22526106414719047},""pick_up_object"":{""count"":240,""fraction"":0.11934361014420686},""place_in_receptacle"":{""count"":240,""fraction"":0.11934361014420686}}"
72.43211920529801,132,29,43749.0,604,14.690397350993377,26,5,8873.0,,,,,,,CheeseMixing,cheese_mixing,1720,120,62.97732558139535,132,25,108321.0,1720,12.51453488372093,24,5,21525.0,,,,,,,,,,,,,,"{""communicate"":{""count"":604,""fraction"":0.3511627906976744},""give_space"":{""count"":212,""fraction"":0.12325581395348838},""navigate_to_fixture"":{""count"":424,""fraction"":0.24651162790697675},""pick_up_object"":{""count"":240,""fraction"":0.13953488372093023},""place_in_receptacle"":{""count"":240,""fraction"":0.13953488372093023}}"
74.94428152492668,115,34,25556.0,341,13.75366568914956,23,6,4690.0,,,,,,,ClusterItemsForClearing,cluster_items_for_clearing,930,90,70.89354838709677,119,37,65931.0,930,12.959139784946236,20,8,12052.0,,,,,,,,,,,,,,"{""communicate"":{""count"":341,""fraction"":0.36666666666666664},""give_space"":{""count"":86,""fraction"":0.09247311827956989},""navigate_to_fixture"":{""count"":143,""fraction"":0.15376344086021507},""pick_up_object"":{""count"":180,""fraction"":0.1935483870967742},""place_next_to"":{""count"":180,""fraction"":0.1935483870967742}}"
72.19109947643979,125,21,27577.0,382,13.403141361256544,22,3,5120.0,,,,,,,ColorfulSalsa,colorful_salsa,1289,90,62.671062839410396,105,32,80783.0,1289,11.96043444530644,20,5,15417.0,,,,,,,,,,,,,,"{""communicate"":{""count"":382,""fraction"":0.29635376260667184},""give_space"":{""count"":95,""fraction"":0.07370054305663305},""navigate_to_fixture"":{""count"":92,""fraction"":0.07137315748642359},""pick_up_object"":{""count"":360,""fraction"":0.27928626842513576},""place_on_object"":{""count"":360,""fraction"":0.27928626842513576}}"
66.93186372745491,118,27,33399.0,499,12.565130260521043,21,6,6270.0,,,,,,,CondimentCollection,condiment_collection,1350,90,63.83925925925926,113,31,86183.0,1350,11.745185185185186,23,5,15856.0,,,,,,,,,,,,,,"{""communicate"":{""count"":499,""fraction"":0.36962962962962964},""give_space"":{""count"":176,""fraction"":0.13037037037037036},""navigate_to_fixture"":{""count"":315,""fraction"":0.23333333333333334},""pick_up_object"":{""count"":180,""fraction"":0.13333333333333333},""place_in_receptacle"":{""count"":180,""fraction"":0.13333333333333333}}"
71.76716417910448,123,38,24042.0,335,12.671641791044776,22,7,4245.0,,,,,,,CutBuffetPizza,cut_buffet_pizza,854,90,70.6112412177986,110,37,60302.0,854,12.649882903981265,20,7,10803.0,,,,,,,,,,,,,,"{""communicate"":{""count"":335,""fraction"":0.39227166276346603},""give_space"":{""count"":105,""fraction"":0.12295081967213115},""navigate_to_fixture"":{""count"":144,""fraction"":0.1686182669789227},""open_sliding_part"":{""count"":90,""fraction"":0.1053864168618267},""pick_up_object"":{""count"":90,""fraction"":0.1053864168618267},""place_on_surface"":{""count"":90,""fraction"":0.1053864168618267}}"
74.50473933649289,127,30,31441.0,422,14.263033175355451,25,7,6019.0,,,,,,,DateNight,date_night,1274,90,64.77786499215071,124,35,82527.0,1274,12.182888540031398,21,5,15521.0,,,,,,,,,,,,,,"{""communicate"":{""count"":422,""fraction"":0.33124018838304553},""give_space"":{""count"":115,""fraction"":0.09026687598116169},""navigate_to_fixture"":{""count"":287,""fraction"":0.22527472527472528},""open_hinged_part"":{""count"":90,""fraction"":0.0706436420722135},""pick_up_object"":{""count"":180,""fraction"":0.141287284144427},""place_on_surface"":{""count"":180,""fraction"":0.141287284144427}}"
72.57771260997067,112,36,24749.0,341,13.296187683284458,22,6,4534.0,,,,,,,DeliverStraw,deliver_straw,846,90,68.05673758865248,113,37,57576.0,846,12.61465721040189,21,7,10672.0,,,,,,,,,,,,,,"{""communicate"":{""count"":341,""fraction"":0.4030732860520095},""give_space"":{""count"":95,""fraction"":0.11229314420803782},""navigate_to_fixture"":{""count"":140,""fraction"":0.16548463356973994},""open_sliding_part"":{""count"":90,""fraction"":0.10638297872340426},""pick_up_object"":{""count"":90,""fraction"":0.10638297872340426},""place_in_receptacle"":{""count"":90,""fraction"":0.10638297872340426}}"
