composite_tasks,conversation_length_chars_avg,conversation_length_chars_max,conversation_length_chars_min,conversation_length_chars_total,conversation_length_texts,conversation_length_words_avg,conversation_length_words_max,conversation_length_words_min,conversation_length_words_total,conversation_messages_avg,conversation_messages_max,conversation_messages_min,conversation_messages_total,environment,num_steps,num_trajectories,sampling_method,task,tool_call_distribution_json,trajectory_cosine_avg,trajectory_cosine_computed_pairs,trajectory_cosine_exact,trajectory_cosine_max,trajectory_cosine_min,trajectory_cosine_num_items,trajectory_cosine_num_pairs
AddLemonToFish,383.52666666666664,921,114,57529.0,150,63.95333333333333,157,21,9593.0,3.953333333333333,7,3,593.0,add_lemon_to_fish,1395,150,,add_lemon_to_fish,"{""communicate"":{""count"":593,""fraction"":0.425089605734767},""give_space"":{""count"":151,""fraction"":0.1082437275985663},""navigate_to_fixture"":{""count"":201,""fraction"":0.14408602150537633},""open_hinged_part"":{""count"":150,""fraction"":0.10752688172043011},""pick_up_object"":{""count"":150,""fraction"":0.10752688172043011},""place_on_object"":{""count"":150,""fraction"":0.10752688172043011}}",,,,,,,
AddSugarCubes,375.3066666666667,910,148,56296.0,150,60.846666666666664,152,28,9127.0,3.86,6,2,579.0,add_sugar_cubes,1471,150,,add_sugar_cubes,"{""communicate"":{""count"":579,""fraction"":0.39360978925900747},""give_space"":{""count"":150,""fraction"":0.10197144799456152},""navigate_to_fixture"":{""count"":142,""fraction"":0.09653297076818491},""pick_up_object"":{""count"":300,""fraction"":0.20394289598912305},""place_on_object"":{""count"":300,""fraction"":0.20394289598912305}}",,,,,,,
AlcoholServingPrep,472.55333333333334,1161,239,70883.0,150,88.06666666666666,217,45,13210.0,4.82,7,3,723.0,alcohol_serving_prep,2195,150,,alcohol_serving_prep,"{""communicate"":{""count"":723,""fraction"":0.32938496583143506},""give_space"":{""count"":185,""fraction"":0.08428246013667426},""navigate_to_fixture"":{""count"":537,""fraction"":0.24464692482915718},""open_hinged_part"":{""count"":150,""fraction"":0.0683371298405467},""pick_up_object"":{""count"":300,""fraction"":0.1366742596810934},""place_on_surface"":{""count"":300,""fraction"":0.1366742596810934}}",,,,,,,
AlignSilverware,495.6933333333333,1622,174,74354.0,150,89.40666666666667,305,33,13411.0,5.08,7,4,762.0,align_silverware,2113,150,,align_silverware,"{""communicate"":{""count"":762,""fraction"":0.3606247042120208},""give_space"":{""count"":250,""fraction"":0.11831519167061051},""navigate_to_fixture"":{""count"":501,""fraction"":0.23710364410790347},""pick_up_object"":{""count"":300,""fraction"":0.14197823000473261},""place_next_to"":{""count"":300,""fraction"":0.14197823000473261}}",,,,,,,
ArrangeBreadBowl,453.52666666666664,1160,206,68029.0,150,81.08,212,35,12162.0,4.713333333333333,7,3,707.0,arrange_bread_bowl,2229,150,,arrange_bread_bowl,"{""communicate"":{""count"":707,""fraction"":0.3171825930910722},""give_space"":{""count"":232,""fraction"":0.10408254822790489},""navigate_to_fixture"":{""count"":540,""fraction"":0.24226110363391656},""open_hinged_part"":{""count"":150,""fraction"":0.06729475100942127},""pick_up_object"":{""count"":300,""fraction"":0.13458950201884254},""place_in_receptacle"":{""count"":150,""fraction"":0.06729475100942127},""place_on_surface"":{""count"":150,""fraction"":0.06729475100942127}}",,,,,,,
ArrangeDrinkware,486.46,1076,236,72969.0,150,85.22,185,44,12783.0,4.6866666666666665,7,3,703.0,arrange_drinkware,2034,150,,arrange_drinkware,"{""communicate"":{""count"":703,""fraction"":0.3456243854473943},""give_space"":{""count"":227,""fraction"":0.11160275319567355},""navigate_to_fixture"":{""count"":504,""fraction"":0.24778761061946902},""pick_up_object"":{""count"":300,""fraction"":0.14749262536873156},""place_on_surface"":{""count"":300,""fraction"":0.14749262536873156}}",,,,,,,
ArrangeTea,465.2133333333333,907,178,69782.0,150,87.7,182,35,13155.0,5.14,8,3,771.0,arrange_tea,2085,150,,arrange_tea,"{""close_hinged_part"":{""count"":150,""fraction"":0.07194244604316546},""communicate"":{""count"":771,""fraction"":0.3697841726618705},""give_space"":{""count"":177,""fraction"":0.08489208633093526},""navigate_to_fixture"":{""count"":387,""fraction"":0.1856115107913669},""pick_up_object"":{""count"":300,""fraction"":0.14388489208633093},""place_in_receptacle"":{""count"":300,""fraction"":0.14388489208633093}}",,,,,,,
BeverageOrganization,534.0866666666667,1397,150,80113.0,150,94.43333333333334,248,27,14165.0,5.493333333333333,11,3,824.0,beverage_organization,2740,150,,beverage_organization,"{""communicate"":{""count"":824,""fraction"":0.3007299270072993},""give_space"":{""count"":233,""fraction"":0.08503649635036496},""navigate_to_fixture"":{""count"":783,""fraction"":0.2857664233576642},""pick_up_object"":{""count"":450,""fraction"":0.16423357664233576},""place_on_surface"":{""count"":450,""fraction"":0.16423357664233576}}",,,,,,,
BowlAndCup,436.2133333333333,1018,155,65432.0,150,79.50666666666666,188,30,11926.0,4.3133333333333335,8,3,647.0,bowl_and_cup,1715,150,,bowl_and_cup,"{""communicate"":{""count"":647,""fraction"":0.3772594752186589},""give_space"":{""count"":172,""fraction"":0.10029154518950437},""navigate_to_fixture"":{""count"":296,""fraction"":0.17259475218658893},""pick_up_object"":{""count"":300,""fraction"":0.1749271137026239},""place_in_receptacle"":{""count"":150,""fraction"":0.08746355685131195},""place_on_surface"":{""count"":150,""fraction"":0.08746355685131195}}",,,,,,,
CandleCleanup,502.29333333333335,1364,149,75344.0,150,92.40666666666667,261,27,13861.0,5.64,12,3,846.0,candle_cleanup,2489,150,,candle_cleanup,"{""close_hinged_part"":{""count"":150,""fraction"":0.060265166733627966},""communicate"":{""count"":846,""fraction"":0.33989554037766173},""give_space"":{""count"":330,""fraction"":0.13258336681398153},""navigate_to_fixture"":{""count"":563,""fraction"":0.22619525914021696},""pick_up_object"":{""count"":300,""fraction"":0.12053033346725593},""place_in_receptacle"":{""count"":300,""fraction"":0.12053033346725593}}",,,,,,,
