composite_tasks,conversation_length_chars_avg,conversation_length_chars_max,conversation_length_chars_min,conversation_length_chars_total,conversation_length_texts,conversation_length_words_avg,conversation_length_words_max,conversation_length_words_min,conversation_length_words_total,conversation_messages_avg,conversation_messages_max,conversation_messages_min,conversation_messages_total,environment,num_steps,num_trajectories,sampling_method,task,tool_call_distribution_json,trajectory_cosine_avg,trajectory_cosine_computed_pairs,trajectory_cosine_exact,trajectory_cosine_max,trajectory_cosine_min,trajectory_cosine_num_items,trajectory_cosine_num_pairs
AddLemonToFish,364.93333333333334,532,247,10948.0,30,59.36666666666667,88,38,1781.0,3.8666666666666667,5,3,116.0,add_lemon_to_fish,282,30,base,add_lemon_to_fish,"{""communicate"":{""count"":116,""fraction"":0.41134751773049644},""give_space"":{""count"":31,""fraction"":0.1099290780141844},""navigate_to_fixture"":{""count"":45,""fraction"":0.1595744680851064},""open_hinged_part"":{""count"":30,""fraction"":0.10638297872340426},""pick_up_object"":{""count"":30,""fraction"":0.10638297872340426},""place_on_object"":{""count"":30,""fraction"":0.10638297872340426}}",,,,,,,
AddSugarCubes,396.9,538,265,11907.0,30,63.666666666666664,88,40,1910.0,4.233333333333333,6,3,127.0,add_sugar_cubes,306,30,base,add_sugar_cubes,"{""communicate"":{""count"":127,""fraction"":0.4150326797385621},""give_space"":{""count"":30,""fraction"":0.09803921568627451},""navigate_to_fixture"":{""count"":29,""fraction"":0.09477124183006536},""pick_up_object"":{""count"":60,""fraction"":0.19607843137254902},""place_on_object"":{""count"":60,""fraction"":0.19607843137254902}}",,,,,,,
AlcoholServingPrep,453.5,635,295,13605.0,30,83.16666666666667,117,49,2495.0,4.9,7,3,147.0,alcohol_serving_prep,441,30,base,alcohol_serving_prep,"{""communicate"":{""count"":147,""fraction"":0.3333333333333333},""give_space"":{""count"":38,""fraction"":0.08616780045351474},""navigate_to_fixture"":{""count"":106,""fraction"":0.24036281179138322},""open_hinged_part"":{""count"":30,""fraction"":0.06802721088435375},""pick_up_object"":{""count"":60,""fraction"":0.1360544217687075},""place_on_surface"":{""count"":60,""fraction"":0.1360544217687075}}",,,,,,,
AlignSilverware,478.26666666666665,634,365,14348.0,30,85.06666666666666,116,60,2552.0,5.066666666666666,6,4,152.0,align_silverware,424,30,base,align_silverware,"{""communicate"":{""count"":152,""fraction"":0.3584905660377358},""give_space"":{""count"":49,""fraction"":0.11556603773584906},""navigate_to_fixture"":{""count"":103,""fraction"":0.2429245283018868},""pick_up_object"":{""count"":60,""fraction"":0.14150943396226415},""place_next_to"":{""count"":60,""fraction"":0.14150943396226415}}",,,,,,,
ArrangeBreadBowl,424.96666666666664,634,262,12749.0,30,74.03333333333333,108,39,2221.0,4.633333333333334,7,3,139.0,arrange_bread_bowl,449,30,base,arrange_bread_bowl,"{""communicate"":{""count"":139,""fraction"":0.30957683741648107},""give_space"":{""count"":52,""fraction"":0.11581291759465479},""navigate_to_fixture"":{""count"":108,""fraction"":0.24053452115812918},""open_hinged_part"":{""count"":30,""fraction"":0.066815144766147},""pick_up_object"":{""count"":60,""fraction"":0.133630289532294},""place_in_receptacle"":{""count"":30,""fraction"":0.066815144766147},""place_on_surface"":{""count"":30,""fraction"":0.066815144766147}}",,,,,,,
ArrangeDrinkware,472.4,649,299,14172.0,30,81.66666666666667,118,48,2450.0,4.666666666666667,6,3,140.0,arrange_drinkware,401,30,base,arrange_drinkware,"{""communicate"":{""count"":140,""fraction"":0.3491271820448878},""give_space"":{""count"":42,""fraction"":0.10473815461346633},""navigate_to_fixture"":{""count"":99,""fraction"":0.24688279301745636},""pick_up_object"":{""count"":60,""fraction"":0.14962593516209477},""place_on_surface"":{""count"":60,""fraction"":0.14962593516209477}}",,,,,,,
ArrangeTea,491.1666666666667,676,370,14735.0,30,90.9,132,66,2727.0,5.533333333333333,7,4,166.0,arrange_tea,433,30,base,arrange_tea,"{""close_hinged_part"":{""count"":30,""fraction"":0.06928406466512702},""communicate"":{""count"":166,""fraction"":0.3833718244803695},""give_space"":{""count"":39,""fraction"":0.09006928406466513},""navigate_to_fixture"":{""count"":78,""fraction"":0.18013856812933027},""pick_up_object"":{""count"":60,""fraction"":0.13856812933025403},""place_in_receptacle"":{""count"":60,""fraction"":0.13856812933025403}}",,,,,,,
BeverageOrganization,526.7666666666667,812,301,15803.0,30,92.56666666666666,154,52,2777.0,5.7,9,4,171.0,beverage_organization,562,30,base,beverage_organization,"{""communicate"":{""count"":171,""fraction"":0.304270462633452},""give_space"":{""count"":52,""fraction"":0.09252669039145907},""navigate_to_fixture"":{""count"":159,""fraction"":0.28291814946619215},""pick_up_object"":{""count"":90,""fraction"":0.1601423487544484},""place_on_surface"":{""count"":90,""fraction"":0.1601423487544484}}",,,,,,,
BowlAndCup,404.2,779,279,12126.0,30,72.4,138,46,2172.0,4.366666666666666,8,3,131.0,bowl_and_cup,338,30,base,bowl_and_cup,"{""communicate"":{""count"":131,""fraction"":0.3875739644970414},""give_space"":{""count"":31,""fraction"":0.09171597633136094},""navigate_to_fixture"":{""count"":56,""fraction"":0.16568047337278108},""pick_up_object"":{""count"":60,""fraction"":0.17751479289940827},""place_in_receptacle"":{""count"":30,""fraction"":0.08875739644970414},""place_on_surface"":{""count"":30,""fraction"":0.08875739644970414}}",,,,,,,
CandleCleanup,547.2,823,337,16416.0,30,99.43333333333334,147,60,2983.0,6.366666666666666,12,4,191.0,candle_cleanup,528,30,base,candle_cleanup,"{""close_hinged_part"":{""count"":30,""fraction"":0.056818181818181816},""communicate"":{""count"":191,""fraction"":0.36174242424242425},""give_space"":{""count"":67,""fraction"":0.1268939393939394},""navigate_to_fixture"":{""count"":120,""fraction"":0.22727272727272727},""pick_up_object"":{""count"":60,""fraction"":0.11363636363636363},""place_in_receptacle"":{""count"":60,""fraction"":0.11363636363636363}}",,,,,,,
CheeseMixing,485.3,858,320,14559.0,30,91.26666666666667,168,61,2738.0,4.966666666666667,8,3,149.0,cheese_mixing,425,30,base,cheese_mixing,"{""communicate"":{""count"":149,""fraction"":0.35058823529411764},""give_space"":{""count"":52,""fraction"":0.1223529411764706},""navigate_to_fixture"":{""count"":104,""fraction"":0.2447058823529412},""pick_up_object"":{""count"":60,""fraction"":0.1411764705882353},""place_in_receptacle"":{""count"":60,""fraction"":0.1411764705882353}}",,,,,,,
ClusterItemsForClearing,365.3666666666667,466,255,10961.0,30,63.5,85,41,1905.0,3.8666666666666667,5,3,116.0,cluster_items_for_clearing,317,30,base,cluster_items_for_clearing,"{""communicate"":{""count"":116,""fraction"":0.3659305993690852},""give_space"":{""count"":30,""fraction"":0.0946372239747634},""navigate_to_fixture"":{""count"":51,""fraction"":0.1608832807570978},""pick_up_object"":{""count"":60,""fraction"":0.1892744479495268},""place_next_to"":{""count"":60,""fraction"":0.1892744479495268}}",,,,,,,
ColorfulSalsa,396.73333333333335,581,265,11902.0,30,69.56666666666666,109,45,2087.0,4.266666666666667,7,3,128.0,colorful_salsa,430,30,base,colorful_salsa,"{""communicate"":{""count"":128,""fraction"":0.29767441860465116},""give_space"":{""count"":32,""fraction"":0.07441860465116279},""navigate_to_fixture"":{""count"":30,""fraction"":0.06976744186046512},""pick_up_object"":{""count"":120,""fraction"":0.27906976744186046},""place_on_object"":{""count"":120,""fraction"":0.27906976744186046}}",,,,,,,
CondimentCollection,467.8666666666667,708,329,14036.0,30,82.96666666666667,122,58,2489.0,5.366666666666666,8,3,161.0,condiment_collection,439,30,base,condiment_collection,"{""communicate"":{""count"":161,""fraction"":0.36674259681093396},""give_space"":{""count"":56,""fraction"":0.1275626423690205},""navigate_to_fixture"":{""count"":102,""fraction"":0.23234624145785876},""pick_up_object"":{""count"":60,""fraction"":0.1366742596810934},""place_in_receptacle"":{""count"":60,""fraction"":0.1366742596810934}}",,,,,,,
CutBuffetPizza,343.26666666666665,458,233,10298.0,30,57.733333333333334,76,40,1732.0,3.8,5,3,114.0,cut_buffet_pizza,287,30,base,cut_buffet_pizza,"{""communicate"":{""count"":114,""fraction"":0.397212543554007},""give_space"":{""count"":34,""fraction"":0.11846689895470383},""navigate_to_fixture"":{""count"":49,""fraction"":0.17073170731707318},""open_sliding_part"":{""count"":30,""fraction"":0.10452961672473868},""pick_up_object"":{""count"":30,""fraction"":0.10452961672473868},""place_on_surface"":{""count"":30,""fraction"":0.10452961672473868}}",,,,,,,
DateNight,465.5,880,325,13965.0,30,83.76666666666667,150,59,2513.0,4.766666666666667,9,3,143.0,date_night,428,30,base,date_night,"{""communicate"":{""count"":143,""fraction"":0.3341121495327103},""give_space"":{""count"":37,""fraction"":0.08644859813084112},""navigate_to_fixture"":{""count"":98,""fraction"":0.22897196261682243},""open_hinged_part"":{""count"":30,""fraction"":0.07009345794392523},""pick_up_object"":{""count"":60,""fraction"":0.14018691588785046},""place_on_surface"":{""count"":60,""fraction"":0.14018691588785046}}",,,,,,,
DeliverStraw,358.53333333333336,516,238,10756.0,30,62.733333333333334,90,38,1882.0,3.8333333333333335,6,3,115.0,deliver_straw,285,30,base,deliver_straw,"{""communicate"":{""count"":115,""fraction"":0.40350877192982454},""give_space"":{""count"":33,""fraction"":0.11578947368421053},""navigate_to_fixture"":{""count"":47,""fraction"":0.1649122807017544},""open_sliding_part"":{""count"":30,""fraction"":0.10526315789473684},""pick_up_object"":{""count"":30,""fraction"":0.10526315789473684},""place_in_receptacle"":{""count"":30,""fraction"":0.10526315789473684}}",,,,,,,
DessertAssembly,338.96666666666664,533,191,10169.0,30,60.1,95,33,1803.0,3.6333333333333333,5,2,109.0,dessert_assembly,290,30,base,dessert_assembly,"{""communicate"":{""count"":109,""fraction"":0.3758620689655172},""give_space"":{""count"":30,""fraction"":0.10344827586206896},""navigate_to_fixture"":{""count"":31,""fraction"":0.10689655172413794},""pick_up_object"":{""count"":60,""fraction"":0.20689655172413793},""place_in_receptacle"":{""count"":60,""fraction"":0.20689655172413793}}",,,,,,,
DisplayMeatVariety,530.7666666666667,784,305,15923.0,30,93.56666666666666,142,51,2807.0,6.066666666666666,9,4,182.0,display_meat_variety,576,30,base,display_meat_variety,"{""communicate"":{""count"":182,""fraction"":0.3159722222222222},""give_space"":{""count"":57,""fraction"":0.09895833333333333},""navigate_to_fixture"":{""count"":157,""fraction"":0.2725694444444444},""pick_up_object"":{""count"":90,""fraction"":0.15625},""place_in_receptacle"":{""count"":90,""fraction"":0.15625}}",,,,,,,
DistributeChicken,547.3666666666667,699,402,16421.0,30,90.2,117,64,2706.0,5.533333333333333,7,4,166.0,distribute_chicken,453,30,base,distribute_chicken,"{""communicate"":{""count"":166,""fraction"":0.36644591611479027},""give_space"":{""count"":62,""fraction"":0.1368653421633554},""navigate_to_fixture"":{""count"":105,""fraction"":0.23178807947019867},""pick_up_object"":{""count"":60,""fraction"":0.13245033112582782},""place_on_object"":{""count"":60,""fraction"":0.13245033112582782}}",,,,,,,
GarnishCake,324.26666666666665,456,216,9728.0,30,55.53333333333333,80,37,1666.0,3.2333333333333334,5,2,97.0,garnish_cake,270,30,base,garnish_cake,"{""communicate"":{""count"":97,""fraction"":0.3592592592592593},""give_space"":{""count"":26,""fraction"":0.0962962962962963},""navigate_to_fixture"":{""count"":27,""fraction"":0.1},""pick_up_object"":{""count"":60,""fraction"":0.2222222222222222},""place_on_object"":{""count"":60,""fraction"":0.2222222222222222}}",,,,,,,
GarnishCupcake,372.93333333333334,643,239,11188.0,30,59.86666666666667,108,37,1796.0,3.8,5,3,114.0,garnish_cupcake,351,30,base,garnish_cupcake,"{""communicate"":{""count"":114,""fraction"":0.3247863247863248},""give_space"":{""count"":39,""fraction"":0.1111111111111111},""navigate_to_fixture"":{""count"":48,""fraction"":0.13675213675213677},""open_hinged_part"":{""count"":30,""fraction"":0.08547008547008547},""pick_up_object"":{""count"":60,""fraction"":0.17094017094017094},""place_next_to"":{""count"":30,""fraction"":0.08547008547008547},""place_on_object"":{""count"":30,""fraction"":0.08547008547008547}}",,,,,,,
GarnishPancake,367.6333333333333,504,241,11029.0,30,61.333333333333336,91,36,1840.0,4.033333333333333,7,3,121.0,garnish_pancake,284,30,base,garnish_pancake,"{""communicate"":{""count"":121,""fraction"":0.426056338028169},""give_space"":{""count"":30,""fraction"":0.1056338028169014},""navigate_to_fixture"":{""count"":43,""fraction"":0.15140845070422534},""open_hinged_part"":{""count"":30,""fraction"":0.1056338028169014},""pick_up_object"":{""count"":30,""fraction"":0.1056338028169014},""place_on_object"":{""count"":30,""fraction"":0.1056338028169014}}",,,,,,,
GatherMarinadeIngredients,558.6333333333333,808,292,16759.0,30,99.86666666666666,150,46,2996.0,6.066666666666666,9,3,182.0,gather_marinade_ingredients,553,30,base,gather_marinade_ingredients,"{""communicate"":{""count"":182,""fraction"":0.3291139240506329},""give_space"":{""count"":47,""fraction"":0.08499095840867993},""navigate_to_fixture"":{""count"":144,""fraction"":0.2603978300180832},""pick_up_object"":{""count"":90,""fraction"":0.162748643761302},""place_in_receptacle"":{""count"":30,""fraction"":0.054249547920433995},""place_next_to"":{""count"":60,""fraction"":0.10849909584086799}}",,,,,,,
HotDogSetup,461.8,820,252,13854.0,30,75.8,124,38,2274.0,5.233333333333333,10,3,157.0,hot_dog_setup,580,30,base,hot_dog_setup,"{""communicate"":{""count"":157,""fraction"":0.2706896551724138},""give_space"":{""count"":39,""fraction"":0.06724137931034482},""navigate_to_fixture"":{""count"":144,""fraction"":0.2482758620689655},""open_hinged_part"":{""count"":60,""fraction"":0.10344827586206896},""pick_up_object"":{""count"":90,""fraction"":0.15517241379310345},""place_next_to"":{""count"":30,""fraction"":0.05172413793103448},""place_on_object"":{""count"":60,""fraction"":0.10344827586206896}}",,,,,,,
LemonSeasoningFish,324.8333333333333,575,213,9745.0,30,58.0,98,37,1740.0,3.7666666666666666,7,3,113.0,lemon_seasoning_fish,280,30,base,lemon_seasoning_fish,"{""communicate"":{""count"":113,""fraction"":0.4035714285714286},""give_space"":{""count"":30,""fraction"":0.10714285714285714},""navigate_to_fixture"":{""count"":47,""fraction"":0.16785714285714284},""open_hinged_part"":{""count"":30,""fraction"":0.10714285714285714},""pick_up_object"":{""count"":30,""fraction"":0.10714285714285714},""place_on_object"":{""count"":30,""fraction"":0.10714285714285714}}",,,,,,,
